population,true_targets,non_targets,fpr,fnr,tpr,expected_tp,expected_fn,expected_fp,expected_tn,expected_total_flagged,precision_ppv,prob_flagged_is_false_positive,false_alerts_per_true_positive,system,reported_model_accuracy,reported_balanced_accuracy,reported_macro_f1
10000,10,9990,0.3333333333333333,0.6666666666666666,0.33333333333333337,3.333333333333334,6.666666666666666,3330.0,6660.000000000001,3333.3333333333335,0.0010000000000000002,0.999,998.9999999999998,DARai_cross_view,0.8027855153203343,0.3333333333333333,0.2968685620107128
100000,10,99990,0.3333333333333333,0.6666666666666666,0.33333333333333337,3.333333333333334,6.666666666666666,33330.0,66660.00000000001,33333.333333333336,0.0001,0.9998999999999999,9998.999999999998,DARai_cross_view,0.8027855153203343,0.3333333333333333,0.2968685620107128
1000000,10,999990,0.3333333333333333,0.6666666666666666,0.33333333333333337,3.333333333333334,6.666666666666666,333330.0,666660.0000000001,333333.3333333333,1.0000000000000003e-05,0.99999,99998.99999999999,DARai_cross_view,0.8027855153203343,0.3333333333333333,0.2968685620107128
10000000,10,9999990,0.3333333333333333,0.6666666666666666,0.33333333333333337,3.333333333333334,6.666666666666666,3333330.0,6666660.000000001,3333333.3333333335,1.0000000000000002e-06,0.999999,999998.9999999998,DARai_cross_view,0.8027855153203343,0.3333333333333333,0.2968685620107128
10000,10,9990,0.09090909090909091,0.9090909090909091,0.09090909090909094,0.9090909090909094,9.09090909090909,908.1818181818182,9081.818181818182,909.0909090909091,0.0010000000000000002,0.999,998.9999999999998,CURE_Darkening5,0.35842831433713257,0.09090909090909091,0.04797366466609125
100000,10,99990,0.09090909090909091,0.9090909090909091,0.09090909090909094,0.9090909090909094,9.09090909090909,9090.0,90900.0,9090.90909090909,0.00010000000000000005,0.9999000000000001,9998.999999999996,CURE_Darkening5,0.35842831433713257,0.09090909090909091,0.04797366466609125
1000000,10,999990,0.09090909090909091,0.9090909090909091,0.09090909090909094,0.9090909090909094,9.09090909090909,90908.18181818182,909081.8181818181,90909.09090909091,1.0000000000000003e-05,0.99999,99998.99999999997,CURE_Darkening5,0.35842831433713257,0.09090909090909091,0.04797366466609125
10000000,10,9999990,0.09090909090909091,0.9090909090909091,0.09090909090909094,0.9090909090909094,9.09090909090909,909090.0,9090900.0,909090.9090909091,1.0000000000000004e-06,0.9999990000000001,999998.9999999997,CURE_Darkening5,0.35842831433713257,0.09090909090909091,0.04797366466609125
10000,10,9990,0.018613049438358637,0.3063131313131313,0.6936868686868687,6.936868686868687,3.063131313131313,185.94436388920278,9804.055636110797,192.88123257607145,0.03596445643892709,0.9640355435610729,26.805230469648453,DARai_clean_iid,0.9520891364902507,0.6936868686868687,0.6768976057055527
100000,10,99990,0.018613049438358637,0.3063131313131313,0.6936868686868687,6.936868686868687,3.063131313131313,1861.11881334148,98128.88118665852,1868.0556820283487,0.003713416443420243,0.9962865835565798,268.29379325927414,DARai_clean_iid,0.9520891364902507,0.6936868686868687,0.6768976057055527
1000000,10,999990,0.018613049438358637,0.3063131313131313,0.6936868686868687,6.936868686868687,3.063131313131313,18612.863307864252,981377.1366921357,18619.80017655112,0.000372553336829288,0.9996274466631707,2683.179421155531,DARai_clean_iid,0.9520891364902507,0.6936868686868687,0.6768976057055527
10000000,10,9999990,0.018613049438358637,0.3063131313131313,0.6936868686868687,6.936868686868687,3.063131313131313,186130.308253092,9813859.691746907,186137.24512177886,3.726749411344459e-05,0.9999627325058865,26832.035700118104,DARai_clean_iid,0.9520891364902507,0.6936868686868687,0.6768976057055527
10000,10,9990,0.030328785890124665,0.3823258878140787,0.6176741121859213,6.176741121859212,3.8232588781407872,302.9845710423454,9687.015428957655,309.1613121642046,0.019979023502716162,0.9800209764972838,49.05249630263708,CURE_ChallengeFree,0.7681463707258548,0.6176741121859214,0.6222950464796869
100000,10,99990,0.030328785890124665,0.3823258878140787,0.6176741121859213,6.176741121859212,3.8232588781407872,3032.5753011535653,96957.42469884643,3038.7520422754246,0.0020326571684453907,0.9979673428315545,490.96687740747564,CURE_ChallengeFree,0.7681463707258548,0.6176741121859214,0.6222950464796869
1000000,10,999990,0.030328785890124665,0.3823258878140787,0.6176741121859213,6.176741121859212,3.8232588781407872,30328.482602265765,969661.5173977342,30334.659343387626,0.0002036199270260018,0.999796380072974,4910.110688455861,CURE_ChallengeFree,0.7681463707258548,0.6176741121859214,0.6222950464796869
10000000,10,9999990,0.030328785890124665,0.3823258878140787,0.6176741121859213,6.176741121859212,3.8232588781407872,303287.5556133877,9696702.444386613,303293.7323545096,2.0365541595298884e-05,0.9999796344584047,49101.54879893971,CURE_ChallengeFree,0.7681463707258548,0.6176741121859214,0.6222950464796869
