dataset,condition,loss,accuracy,macro_f1,balanced_accuracy,mean_fnr_macro,mean_fpr_macro
DARai,clean_iid,0.08030758371372697,0.9520891364902507,0.6768976057055527,0.6936868686868687,0.3063131313131313,0.018613049438358637
DARai,stress_cross_view,2.2507423868418406,0.8027855153203343,0.2968685620107128,0.3333333333333333,0.6666666666666666,0.3333333333333333
CURE-TSR,ChallengeFree,1.5849696107571356,0.7681463707258548,0.6222950464796869,0.6176741121859214,0.3823258878140787,0.030328785890124665
CURE-TSR,Darkening-5,7.918388553850182,0.35842831433713257,0.04797366466609125,0.09090909090909091,0.9090909090909091,0.09090909090909091
CURE-TSR,CodecError-5,2.7723784609762006,0.45140971805638874,0.2645796592460925,0.3007097705613288,0.6992902294386713,0.06120394626414171
